Name,Jon,Kevin,Nate
1 Malamet War Scribe (LCI) 21,B,C,C+
1 Spyglass Siren (LCI) 78,B,B,B
1 Waterlogged Hulk (LCI) 83,C+,D+,D
1 Chart a Course (LCI) 48,B-,C,C+
1 Eaten by Piranhas (LCI) 54,B-,B-,B-
1 Hermitic Nautilus (LCI) 58,B-,B-,B-
1 Lodestone Needle (LCI) 62,C+,C-,C
1 Staunch Crewmate (LCI) 79,B,C+,C+
1 Confounding Riddle (LCI) 50,B,B+,A-
1 Merfolk Cave-Diver (LCI) 65,B-,C+,C+
1 Zoetic Glyph (LCI) 86,C+,B,C+
1 Hurl into History (LCI) 59,C-,D+,D+
1 Council of Echoes (LCI) 51,D+,D+,C-
1 Self-Reflection (LCI) 74,D,D,C-
1 Sinuous Benthisaur (LCI) 76,D,D-,D
1 Bloodthorn Flail (LCI) 93,D-,D+,D+
1 Bitter Triumph (LCI) 91,A-,B+,B+
1 Canonized in Blood (LCI) 96,C-,D-,G
1 Deep-Cavern Bat (LCI) 102,B,B,B
1 Visage of Dread (LCI) 129,A-,B-,B-
1 Malicious Eclipse (LCI) 111,D,D-,D-
1 Soulcoil Viper (LCI) 120,B-,B,B-
1 Stinging Cave Crawler (LCI) 124,C+,C,C
1 Synapse Necromage (LCI) 125,C+,C+,C+
1 Chupacabra Echo (LCI) 97,B+,B,B
1 Grasping Shadows (LCI) 108,D-,G,G
1 Defossilize (LCI) 103,C-,D,D+
1 Abyssal Gorestalker (LCI) 87,G,G,G
1 Gargantuan Leech (LCI) 107,G,D-,D-
1 Diamond Pick-Axe (LCI) 143,,D,D
1 Dreadmaw's Ire (LCI) 147,,C-,D+
1 Triumphant Chomp (LCI) 170,,B-,B-
1 Belligerent Yearling (LCI) 133,,B,B
1 Dowsing Device (LCI) 146,,G,G
1 Enterprising Scallywag (LCI) 148,,C+,C+
1 Saheeli's Lattice (LCI) 164,,C,C
1 Zoyowa's Justice (LCI) 173,,D-,D-
1 Calamitous Cave-In (LCI) 139,,D-,G
1 Scytheclaw Raptor (LCI) 165,,B,B
1 Curator of Sun's Creation (LCI) 141,,D,D+
1 Geological Appraiser (LCI) 150,,A-,A-
1 Rampaging Ceratops (LCI) 162,,D,D
1 Goldfury Strider (LCI) 152,,D-,D
1 Cenote Scout (LCI) 178,,B+,B
1 Glowcap Lantern (LCI) 187,,D+,D+
1 Ixalli's Lorekeeper (LCI) 194,,C,C
1 Malamet Battle Glyph (LCI) 198,,C,C
1 Twists and Turns (LCI) 217,,C-,C
1 Explorer's Cache (LCI) 184,,D,D+
1 Glimpse the Core (LCI) 186,,C,C+
1 Tendril of the Mycotyrant (LCI) 215,,C,C+
1 Coati Scavenger (LCI) 179,,D+,D+
1 Spelunking (LCI) 213,,G,G
1 Thrashing Brontodon (LCI) 216,,C,C+
1 Colossadactyl (LCI) 180,,B-,B-
1 Jade Seedstones (LCI) 195,,D,D
1 Earthshaker Dreadmaw (LCI) 183,,C-,C-
1 Swashbuckler's Whip (LCI) 263,,D+,D+
1 Contested Game Ball (LCI) 251,,G+,G+
1 Digsite Conservator (LCI) 252,,D,D
1 Sorcerous Spyglass (LCI) 261,,G,G
1 Careening Mine Cart (LCI) 247,,C,C-
1 Sunbird Standard (LCI) 262,,D+,D
1 Scampering Surveyor (LCI) 260,,D+,D+
1 Hoverstone Pilgrim (LCI) 254,,G,D-
1 Cavernous Maw (LCI) 270,,D-,G
1 Forgotten Monument (LCI) 272,,D+,D+
1 Pit of Offerings (LCI) 278,,C,C
1 Volatile Fault (LCI) 286,,G,G
1 Master's Guide-Mural (LCI) 233,,C+,C+
"1 Uchbenbak, the Great Mistake (LCI) 242",,C-,C-
1 Zoyowa Lava-Tongue (LCI) 245,,B,B-
"1 Itzquinth, Firstborn of Gishath (LCI) 230",,B+,B+
"1 Kutzil, Malamet Exemplar (LCI) 232",,C,C
1 Bartolome del Presidio (LCI) 224,,B,B
"1 Captain Storm, Cosmium Raider (LCI) 227",,B,B
"1 Akawalli, the Seething Tower (LCI) 220",,C+,C+
1 Caparocti Sunborn (LCI) 226,,A-,B+
"1 Nicanzil, Current Conductor (LCI) 236",,C+,B-
