Name,Rating,Color,Rarity,Notes
Twitching Doll,A,G,R,
Enduring Vitality,B+,G,R,
Omnivorous Flytrap,A,G,R,
Hedge Shredder,B-,G,R,
"Kona, Rescue Beastie",B,G,R,
Leyline of Mutation,G,G,R,
Balustrade Wurm,B+,G,R,
Hauntwoods Shrieker,A,G,M,
"Tyvar, the Pummeler",A-,G,M,
Overlord of the Hauntwoods,A-,G,M,
Haunted Screen,D,M,U,
Gremlin Tamer,B,M,U,
Inquisitive Glimmer,B,M,U,
Skullsnap Nuisance,C+,M,U,
Fear of Infinity,B,M,U,
Disturbing Mirth,C+,M,U,
Sawblade Skinripper,B,M,U,
Beastie Beatdown,B,M,U,
Wildfire Wickerfolk,B,M,U,
Baseball Bat,C-,M,U,
Shrewd Storyteller,C,M,U,
Rite of the Moth,C+,M,U,
Intruding Soulrager,B,M,U,
Smoky Lounge // Misty Salon,D,M,U,
Broodspinner,B,M,U,
Drag to the Roots,B,M,U,
"Arabella, Abandoned Doll",C,M,U,
Midnight Mayhem,B+,M,U,
Growing Dread,B,M,U,
Oblivious Bookworm,B+,M,U,
Restricted Office // Lecture Hall,B,M,R,
"Nashi, Searcher in the Dark",B+,M,R,
Undead Sprinter,A-,M,R,
Peer Past the Veil,C-,M,R,
"Rip, Spawn Hunter",B,M,R,
"Victor, Valgavoth's Seneschal",B+,M,R,
The Swarmweaver,A-,M,R,
The Jolly Balloon Man,D,M,R,
"Zimone, All-Questioning",A-,M,R,
"Winter, Misanthropic Guide",D,M,R,
"""Marina Vendrell""",C-,M,R,
"Niko, Light of Hope",A,M,M,
"Kaito, Bane of Nightmares",A,M,M,
Bear Trap,C-,C,C,
Found Footage,D,C,C,
Friendly Teddy,D-,C,C,
Glimmerlight,C-,C,C,
Malevolent Chandelier,D,C,C,
Bleeding Woods,C+,C,C,
Abandoned Campground,C+,C,C,
Etched Cornfield,C+,C,C,
Lakeside Shack,C+,C,C,
Murky Sewer,C+,C,C,
Neglected Manor,C+,C,C,
Peculiar Lighthouse,C+,C,C,
Raucous Carnival,B+,C,C,
Razortrap Gorge,C+,C,C,
Strangled Cemetery,C+,C,C,
Terramorphic Expanse,B-,C,C,
Keys to the House,D+,C,U,
Saw,D+,C,U,
Attack-in-the-Box,D+,C,U,
Conductive Machete,D+,C,U,
Ghost Vacuum,C-,C,R,
"Marvin, Murderous Mimic",D,C,R,
Dissection Tools,D+,C,R,
Blazemire Verge,B-,C,R,
Floodfarm Verge,B-,C,R,
Gloomlake Verge,B-,C,R,
Hushwood Verge,B-,C,R,
Thornspire Verge,B-,C,R,
Valgavoth's Lair,B-,C,R,
Possessed Goat,D,W,C,
Seized from Slumber,C-,W,C,
Dazzling Theater // Prop Room,G,W,R,
Underwater Tunnel // Slimy Aquarium,C+,U,C,
Don't Make a Sound,C,U,C,
Meat Locker // Drowned Diner,B,U,C,
Glimmerburst,C+,U,C,
Cracked Skull,C,B,C,
Direlect Attic // Widow's Walk,C+,B,C,
Defiled Crypt // Cadaver Lab,B,B,U,
Scorching Dragonfire,C,R,C,
Ticket Booth // Tunnel of Hate,C+,R,C,
Boilerbilges Ripper,C+,R,C,
Bedhead Beastie,C,R,C,
Violent Urge,C+,R,U,
Monsterous Emergence,B,G,C,
Moldering Gym // Weight Room,C,G,C,
Walk-In Closet // Forgotten Cellar,G,G,M,
Shroudstomper,C-,M,U,
Roaring Furnace // Steaming Sauna,B,M,R,
