Name,Rating,Color,Rarity,Notes
1 Cautious Survivor,D+,G,C,
1 Bashful Beastie,D+,G,C,
1 Slavering Branchsnapper,C,G,C,
1 Coordinated Clobbering,C,G,U,
1 Insidious Fungus,C+,G,U,
1 Patchwork Beastie,C+,G,U,
1 Cathartic Parting,D+,G,U,Sideboard
1 House Cartographer,C,G,U,
1 Overgrown Zealot,C,G,U,
1 Break Down the Door,C+,G,U,
1 Defiant Survivor,B-,G,U,
1 Fear of Exposure,B-,G,U,
1 Greenhouse // Rickety Gazebo,D-,G,U,
1 Under the Skin,B-,G,U,
1 Threats Around Every Corner,D+,G,U,
1 Wickerfolk Thresher,C+,G,U,
1 Rootwise Survivor,C,G,U,
"1 Altanak, the Thrice-Called",C+,G,U,
1 Valgavoth's Onslaught,A-,G,R,
1 Twitching Doll,A-,G,R,
1 Enduring Vitality,B-,G,R,
1 Omnivorous Flytrap,B,G,R,
1 Hedge Shredder,B,G,R,
"1 Kona, Rescue Beastie",C-,G,R,Great combo card in commander/constructed.
1 Leyline of Mutation,G,G,R,
1 Balustrade Wurm,A-,G,R,
1 Hauntwoods Shrieker,A+,G,M,
"1 Tyvar, the Pummeler",A+,G,M,
1 Overlord of the Hauntwoods,B,G,M,
1 Haunted Screen,D,M,U,
1 Gremlin Tamer,B,M,U,
1 Inquisitive Glimmer,B-,M,U,
1 Skullsnap Nuisance,C+,M,U,
1 Fear of Infinity,C,M,U,
1 Disturbing Mirth,C,M,U,
1 Sawblade Skinripper,C+,M,U,
1 Beastie Beatdown,B-,M,U,
1 Wildfire Wickerfolk,C+,M,U,
1 Baseball Bat,C,M,U,
1 Shrewd Storyteller,C+,M,U,
1 Rite of the Moth,C,M,U,
1 Intruding Soulrager,C,M,U,
1 Smoky Lounge // Misty Salon,D+,M,U,
1 Broodspinner,B-,M,U,
1 Drag to the Roots,C+,M,U,
"1 Arabella, Abandoned Doll",B-,M,U,
1 Midnight Mayhem,C+,M,U,
1 Growing Dread,B,M,U,
1 Oblivious Bookworm,B,M,U,
1 Restricted Office // Lecture Hall,B,M,R,
"1 Nashi, Searcher in the Dark",B-,M,R,
1 Undead Sprinter,B-,M,R,
1 Peer Past the Veil,C-,M,R,
"1 Rip, Spawn Hunter",B-,M,R,
"1 Victor, Valgavoth's Seneschal",B,M,R,
1 The Swarmweaver,B+,M,R,
1 The Jolly Balloon Man,C+,M,R,
"1 Zimone, All-Questioning",B,M,R,
"1 Winter, Misanthropic Guide",C-,M,R,
"1 ""Marina Vendrell""",D-,M,R,
"1 Niko, Light of Hope",B,M,M,
"1 Kaito, Bane of Nightmares",A,M,M,
1 Bear Trap,D,C,C,
1 Found Footage,D-,C,C,
1 Friendly Teddy,D+,C,C,
1 Glimmerlight,D+,C,C,
1 Malevolent Chandelier,D-,C,C,
1 Bleeding Woods,C+,C,C,
1 Abandoned Campground,C+,C,C,
1 Etched Cornfield,C+,C,C,
1 Lakeside Shack,C+,C,C,
1 Murky Sewer,C+,C,C,
1 Neglected Manor,C+,C,C,
1 Peculiar Lighthouse,C+,C,C,
1 Raucous Carnival,C+,C,C,
1 Razortrap Gorge,C+,C,C,
1 Strangled Cemetery,C+,C,C,
1 Terramorphic Expanse,B-,C,C,
1 Keys to the House,D+,C,U,
1 Saw,D-,C,U,
1 Attack-in-the-Box,D,C,U,
1 Conductive Machete,C-,C,U,
1 Ghost Vacuum,C+,C,R,
"1 Marvin, Murderous Mimic",C,C,R,
1 Dissection Tools,C-,C,R,
1 Blazemire Verge,B-,C,R,
1 Floodfarm Verge,B-,C,R,
1 Gloomlake Verge,B-,C,R,
1 Hushwood Verge,B-,C,R,
1 Thornspire Verge,B-,C,R,
1 Valgavoth's Lair,B-,C,R,
1 Possessed Goat,D-,W,C,
1 Seized from Slumber,C,W,C,
1 Dazzling Theater // Prop Room,C-,W,R,
1 Underwater Tunnel // Slimy Aquarium,C,U,C,
1 Don't Make a Sound,C,U,C,
1 Meat Locker // Drowned Diner,C+,U,C,
1 Glimmerburst,C-,U,C,
1 Cracked Skull,D+,B,C,
1 Direlect Attic // Widow's Walk,C-,B,C,
1 Defiled Crypt // Cadaver Lab,C-,B,U,
1 Scorching Dragonfire,B-,R,C,
1 Ticket Booth // Tunnel of Hate,C-,R,C,
1 Boilerbilges Ripper,D+,R,C,
1 Bedhead Beastie,C-,R,C,
1 Violent Urge,C+,R,U,
1 Monsterous Emergence,B-,G,C,
1 Moldering Gym // Weight Room,D,G,C,
1 Walk-In Closet // Forgotten Cellar,G,G,M,
1 Shroudstomper,C-,M,U,
1 Roaring Furnace // Steaming Sauna,C,M,R,
