Name,Notes,Rating,Color,Rarity
Forlorn Flats,,C,L,C
Jagged Barrens,,C,L,C
Lonely Arroyo,,B-,L,C
Lush Oasis,,C+,L,C
Mirage Mesa,,B,L,C
Soured Springs,,G,L,C
Arid Archway,,D,L,U
Bucolic Ranch,,D+,L,U
Sandstorm Verge,,D+,L,U
Dust Animus,,G,W,R
High Noon,,G,W,R
Another Round,,G,W,R
Aven Interrupter,,G,W,R
Claim Jumper,,G,W,R
"Fortune, Loyal Steed",,G,W,R
One Last Job,,G,W,R
Archangel of Tithes,,G,W,M
Final Showdown,,G,W,M
Three Steps Ahead,,G,U,R
Archmage's Newt,,G,U,R
Duelist of the Mind,,G,U,R
The Key to the Vault,,G,U,R
"Fblthp, Lost on the Range",,G,U,R
Stoic Sphinx,,G,U,R
Step Between Worlds,,G,U,R
Jace Reawakened,,G,U,M
"Geralf, the Fleshwright",,G,U,M
Double Down,,G,U,M
Insatiable Avarice,,G,B,R
Tinybones Joins Up,,G,B,R
Caustic Bronco,,G,B,R
"Vadmir, New Blood",,G,B,R
"Kaervek, the Punisher",,G,B,R
Rush of Dread,,G,B,R
Pitiless Carnage,,G,B,R
"Tinybones, the Pickpocket",,G,B,M
"Gisa, the Hellraiser",,G,B,M
Great Train Heist,,G,R,R
Hell to Pay,,G,R,R
"Magda, the Hoardmaster",,G,R,R
Slickshot Show-Off,,G,R,R
Hellspur Posse Boss,,G,R,R
Stingerback Terror,,G,R,R
"Calamity, Galloping Inferno",,G,R,R
Terror of the Peaks,,G,R,M
Smuggler's Surprise,,G,G,R
Freestrider Lookout,,G,G,R
Ornery Tumblewagg,,G,G,R
Outcaster Trailblazer,,G,G,R
Colossal Rattlewurm,,G,G,R
Goldvein Hydra,,G,G,M
"Bristly Bill, Spine Sower",,G,G,M
Railway Brawler,,G,G,M
"Satoru, the Infiltrator",,G,M,R
Laughing Jasper Flint,,G,M,R
Akul the Unrepentant,,G,M,R
Rakdos Joins Up,,G,M,R
"Roxanne, Starfall Savant",,G,M,R
Seraphic Steed,,G,M,R
"Wylie Duke, Atiin Hero",,G,M,R
"Kambal, Profiteering Mayor",,G,M,R
"Malcolm, the Eyes",,G,M,R
"Breeches, the Blastmaker",,G,M,R
"Lilah, Undefeated Slickshot",,G,M,R
Pillage the Bog,,G,M,R
Vraska Joins Up,,G,M,R
"Taii Wakeen, Perfect Shot",,G,M,R
"Bruse Tarl, Roving Rancher",,G,M,R
"Bonny Pall, Clearcutter",,G,M,R
Kellan Joins Up,,G,M,R
"Eriette, the Beguiler",,G,M,R
"Marchesa, Dealer of Death",,G,M,R
"Obeka, Splitter of Seconds",,G,M,R
Annie Joins Up,,G,M,R
Riku of Many Paths,,G,M,R
Assimilation Aegis,,G,M,M
"Rakdos, the Muscle",,G,M,M
"Selvala, Eager Trailblazer",,G,M,M
"Vraska, the Silencer",,G,M,M
"The Gitrog, Ravenous Ride",,G,M,M
"Oko, the Ringleader",,G,M,M
"Kellan, the Kid",,G,M,M
"Ghired, Mirror of the Wilds",,G,M,M
"Annie Flash, the Veteran",,G,M,M
Blooming Marsh,,G,L,R
Botanical Sanctum,,G,L,R
Concealed Courtyard,,G,L,R
Inspiring Vantage,,G,L,R
Spirebluff Canal,,G,L,R
Journey to Nowhere,,G,W,U
