Name,Notes,Rating,Color,Rarity
Festering Gulch,,C,L,C
Forlorn Flats,,C,L,C
Jagged Barrens,,C,L,C
Lonely Arroyo,,C,L,C
Lush Oasis,,C,L,C
Mirage Mesa,,C-,L,C
Soured Springs,,C,L,C
Arid Archway,,D-,L,U
Bucolic Ranch,,D-,L,U
Sandstorm Verge,,D,L,U
Dust Animus,,A-,W,R
High Noon,,D,W,R
Another Round,,D,W,R
Aven Interrupter,,B-,W,R
Claim Jumper,,B,W,R
"Fortune, Loyal Steed",,C+,W,R
One Last Job,,D,W,R
Archangel of Tithes,,A,W,M
Final Showdown,,B+,W,M
Three Steps Ahead,,C+,U,R
Archmage's Newt,,C,U,R
Duelist of the Mind,,B+,U,R
The Key to the Vault,,D+,U,R
"Fblthp, Lost on the Range",,A-,U,R
Stoic Sphinx,,B+,U,R
Step Between Worlds,,D+,U,R
Jace Reawakened,,A-,U,M
"Geralf, the Fleshwright",,B+,U,M
Double Down,,D-,U,M
Insatiable Avarice,,B-,B,R
Tinybones Joins Up,,D+,B,R
Caustic Bronco,,C+,B,R
"Vadmir, New Blood",,B,B,R
"Kaervek, the Punisher",,B-,B,R
Rush of Dread,,B-,B,R
Pitiless Carnage,,C-,B,R
"Tinybones, the Pickpocket",,B+,B,M
"Gisa, the Hellraiser",,A-,B,M
Great Train Heist,,C+,R,R
Hell to Pay,,B,R,R
"Magda, the Hoardmaster",,A-,R,R
Slickshot Show-Off,,B,R,R
Hellspur Posse Boss,,A,R,R
Stingerback Terror,,A,R,R
"Calamity, Galloping Inferno",,B,R,R
Terror of the Peaks,,A+,R,M
Smuggler's Surprise,,C,G,R
Freestrider Lookout,,B-,G,R
Ornery Tumblewagg,,A,G,R
Outcaster Trailblazer,,B-,G,R
Colossal Rattlewurm,,A,G,R
Goldvein Hydra,,A-,G,M
"Bristly Bill, Spine Sower",,A-,G,M
Railway Brawler,,A,G,M
"Satoru, the Infiltrator",,B,M,R
Laughing Jasper Flint,,A,M,R
Akul the Unrepentant,,B-,M,R
Rakdos Joins Up,,C-,M,R
"Roxanne, Starfall Savant",,A-,M,R
Seraphic Steed,,A,M,R
"Wylie Duke, Atiin Hero",,C+,M,R
"Kambal, Profiteering Mayor",,C-,M,R
"Malcolm, the Eyes",,A,M,R
"Breeches, the Blastmaker",,B,M,R
"Lilah, Undefeated Slickshot",,B,M,R
Pillage the Bog,,B-,M,R
Vraska Joins Up,,C+,M,R
"Taii Wakeen, Perfect Shot",,C,M,R
"Bruse Tarl, Roving Rancher",,A-,M,R
"Bonny Pall, Clearcutter",,A+,M,R
Kellan Joins Up,,C-,M,R
"Eriette, the Beguiler",,C-,M,R
"Marchesa, Dealer of Death",,C+,M,R
"Obeka, Splitter of Seconds",,D+,M,R
Annie Joins Up,,B-,M,R
Riku of Many Paths,,B+,M,R
Assimilation Aegis,,A-,M,M
