Name,Color,Rarity,Mana Value,Tier,Synergy,Buildaround,Comment,Image,Image Back
Tinybones Joins Up,B,R,1,D-,,,,https://cards.scryfall.io/large/front/5/7/5724a15f-0ba0-421a-9cd4-a2b701e6141f.jpg?1712355685,
"Tinybones, the Pickpocket",B,M,1,C,,,,https://cards.scryfall.io/large/front/3/d/3d3025a2-4a17-4137-ba0b-bd676c6f5f88.jpg?1712355685,
Final Showdown,W,M,1,A,,,,https://cards.scryfall.io/large/front/3/5/358968f9-45bd-4022-b6bc-f1f7e0adf0e7.jpg?1712860587,
Treasure Dredger,B,U,2,D+,,,,https://cards.scryfall.io/large/front/c/8/c88df498-147c-4609-8a94-d8d10a87e37c.jpg?1712355695,
Unfortunate Accident,B,U,1,B,,,,https://cards.scryfall.io/large/front/0/c/0c5a25d9-926e-4004-8830-2b2bf7bc0775.jpg?1712860615,
Unscrupulous Contractor,B,U,3,C+,,,,https://cards.scryfall.io/large/front/9/e/9e56a8df-db04-4a88-a5ab-6954d3449976.jpg?1712355703,
"Vadmir, New Blood",B,R,2,B,,,,https://cards.scryfall.io/large/front/8/2/828b5855-af5a-46a6-8fd4-0a2e28f3bb01.jpg?1712355705,
Vault Plunderer,B,C,3,C+,,,,https://cards.scryfall.io/large/front/2/e/2e6bf35c-8763-47cc-ab2d-5dbabeb28072.jpg?1712355713,
Brimstone Roundup,R,U,2,D,,,,https://cards.scryfall.io/large/front/b/d/bd13011e-a4fc-4107-988f-60cfc851ecd3.jpg?1712355715,
"Calamity, Galloping Inferno",R,R,6,B,,,,https://cards.scryfall.io/large/front/e/7/e7a70f5a-2056-4c26-b6ea-9f751b5d0d8c.jpg?1712355721,
Caught in the Crossfire,R,U,2,SB,,,,https://cards.scryfall.io/large/front/3/a/3a2fd0c4-509e-49c2-ad57-f772efcbc207.jpg?1712860582,
Cunning Coyote,R,U,2,B-,,,,https://cards.scryfall.io/large/front/5/b/5b4ac6ea-c67b-4f90-be4f-aa25882f5794.jpg?1712355730,
Deadeye Duelist,R,C,2,C,,,,https://cards.scryfall.io/large/front/e/9/e9a50b7a-8741-4520-8d45-8e6b128c2628.jpg?1712355733,
"Fortune, Loyal Steed",W,R,3,A-,,,,https://cards.scryfall.io/large/front/0/6/069294a8-e65a-47af-942f-7e99d18658f2.jpg?1712355270,
Demonic Ruckus,R,U,2,B-,,,,https://cards.scryfall.io/large/front/5/b/5b491d11-d00a-4541-8389-2785a455eeee.jpg?1712355738,
Discerning Peddler,R,C,2,C+,,,,https://cards.scryfall.io/large/front/7/3/73b359bf-afd8-439d-a4d2-985db1ad368c.jpg?1712355741,
Explosive Derailment,R,C,1,C+,,,,https://cards.scryfall.io/large/front/f/0/f0e3df9c-0a86-4e6f-a3c7-84a883328a3d.jpg?1712860585,
Ferocification,R,U,3,F,,,,https://cards.scryfall.io/large/front/7/8/78db4260-6fc8-4500-afd7-2c845ac0d53b.jpg?1712355750,
Gila Courser,R,U,3,C+,,,,https://cards.scryfall.io/large/front/f/5/f568803d-65c0-48d7-916f-671267a9e00e.jpg?1712355755,
Great Train Heist,R,R,1,C-,,,,https://cards.scryfall.io/large/front/3/5/357dd9b2-5d2d-49f6-86f0-f5c4d63474dd.jpg?1712860638,
Hell to Pay,R,R,1,D+,,,,https://cards.scryfall.io/large/front/8/4/84ad8ed7-1429-432e-8217-a4db3b97675c.jpg?1712355764,
Hellspur Brute,R,U,5,B-,,,,https://cards.scryfall.io/large/front/3/b/3b99db5b-cd13-4e69-98b7-753e72c781f8.jpg?1712355767,
Hellspur Posse Boss,R,R,4,A,,,,https://cards.scryfall.io/large/front/5/f/5f348c7e-7d72-40f1-a65f-ee7ff4b09412.jpg?1712355772,
Highway Robbery,R,C,2,C-,,,,https://cards.scryfall.io/large/front/3/1/31a88429-9204-4a23-a7a8-babbd6bab79f.jpg?1712355775,
Frontier Seeker,W,U,2,B-,,,,https://cards.scryfall.io/large/front/9/3/9368cc76-bee5-4b46-a309-981106c3addf.jpg?1712355276,
Irascible Wolverine,R,C,3,C+,,,,https://cards.scryfall.io/large/front/3/2/324c0af5-7cdf-4c71-84cc-6349f10e0d66.jpg?1712355780,
Iron-Fist Pulverizer,R,C,5,D+,,,,https://cards.scryfall.io/large/front/c/d/cd7f984a-0b56-45df-958d-6178e4da61ed.jpg?1712355784,
Longhorn Sharpshooter,R,U,3,B,,,,https://cards.scryfall.io/large/front/3/9/398d9a16-d72c-42e2-a0ea-d9da642ee046.jpg?1712355789,
"Magda, the Hoardmaster",R,R,2,B,,,,https://cards.scryfall.io/large/front/4/4/4443d112-209b-49ec-bc40-3a11dcdb092e.jpg?1712355792,
Magebane Lizard,R,U,2,SB,,,,https://cards.scryfall.io/large/front/6/2/62e12566-375f-4f31-aa91-1b13a96d9ece.jpg?1712355797,
Mine Raider,R,C,3,D+,,,,https://cards.scryfall.io/large/front/1/9/19cfacff-e884-4954-aa6b-ed56ca942bf2.jpg?1712355800,
Outlaws' Fury,R,C,3,D,,,,https://cards.scryfall.io/large/front/f/7/f7502b9c-b759-499a-8e94-22f87f5eb142.jpg?1712355807,
Prickly Pair,R,C,3,C+,,,,https://cards.scryfall.io/large/front/e/7/e70f2278-8857-46e4-aa2b-fff5589b750f.jpg?1712355809,
Quick Draw,R,C,1,D-,,,,https://cards.scryfall.io/large/front/5/6/56399cd0-1214-42b6-be38-f2cbd770915f.jpg?1712355816,
Quilled Charger,R,C,4,D,,,,https://cards.scryfall.io/large/front/5/6/56e326c4-39f1-41ee-9e47-ebe468c51718.jpg?1712355818,
Getaway Glamer,W,U,1,B,,,,https://cards.scryfall.io/large/front/6/9/69689049-a704-4f16-84ee-4d5d915028ec.jpg?1712860589,
Reckless Lackey,R,C,1,C-,,,,https://cards.scryfall.io/large/front/9/1/912fcd14-5e81-418c-997b-771f2f38f63d.jpg?1712355825,
Resilient Roadrunner,R,U,2,C+,,,,https://cards.scryfall.io/large/front/e/0/e07d3ee9-d3c4-4f07-839e-ec81c2587ae0.jpg?1712355827,
