Name,Rating,Color,Rarity,Notes
"Jeong Jeong, the Deserter",B-,R,uncommon,""
"Solstice Revelations",D+,R,uncommon,""
"Twin Blades",C,R,uncommon,""
"Ty Lee, Artful Acrobat",C,R,uncommon,""
"War Balloon",C,R,uncommon,""
"Crescent Island Temple",C,R,uncommon,""
"The Cave of Two Lovers",B,R,uncommon,""
"Zuko, Exiled Prince",B,R,uncommon,""
"Combustion Man",B-,R,uncommon,""
"Fire Nation Attacks",C+,R,uncommon,""
"Seismic Sense",C,G,uncommon,""
"Haru, Hidden Talent",C-,G,uncommon,""
"Leaves from the Vine",C-,G,uncommon,""
"Shared Roots",B-,G,uncommon,""
"Sparring Dummy",D,G,uncommon,""
"True Ancestry",B-,G,uncommon,""
"Unlucky Cabbage Merchant",B,G,uncommon,""
"Allies at Last",B,G,uncommon,""
"Rockalanche",C,G,uncommon,""
"Toph, the Blind Bandit",B,G,uncommon,""
"Earth Kingdom General",C,G,uncommon,""
"Earth Rumble",C+,G,uncommon,""
"Kyoshi Island Plaza",D+,G,uncommon,""
"The Boulder, Ready to Rumble",B-,G,uncommon,""
"Invasion Tactics",C+,G,uncommon,""
"Bumi, King of Three Trials",B+,G,uncommon,""
"Flopsie, Bumi's Buddy",B-,G,uncommon,""
"Air Nomad Legacy",D+,UW,uncommon,""
"Hermitic Herbalist",B,GU,uncommon,""
"Professor Zei, Anthropologist",D+,RU,uncommon,""
"Tolls of War",C,BW,uncommon,""
"Bitter Work",B-,GR,uncommon,""
"Dragonfly Swarm",B,RU,uncommon,""
"Foggy Swamp Spirit Keeper",C+,BU,uncommon,""
"Long Feng, Grand Secretariat",B-,BG,uncommon,""
"Sokka, Lateral Strategist",B-,UW,uncommon,""
"Uncle Iroh",B-,GR,uncommon,""
"White Lotus Reinforcements",B-,GW,uncommon,""
"Guru Pathik",C+,GU,uncommon,""
"Hei Bai, Spirit of Balance",B-,BW,uncommon,""
"Suki, Kyoshi Warrior",B-,GW,uncommon,""
"Sun Warriors",B-,RW,uncommon,""
"Zhao, Ruthless Admiral",C,BR,uncommon,""
"Cruel Administrator",C+,BR,uncommon,""
"Dai Li Agents",B-,BG,uncommon,""
"Hama, the Bloodbender",B-,BU,uncommon,""
"Jet, Freedom Fighter",C+,RW,uncommon,""
"White Lotus Hideout",C,,uncommon,""
"Trusty Boomerang",D,,uncommon,""
"Energybending",C,,uncommon,""
"Fire Nation Warship",C-,,uncommon,""
"Meteor Sword",C,,uncommon,""
"Momo, Friendly Flier",B-,W,rare,""
"Airbender Ascension",B,W,rare,""
"South Pole Voyager",B-,W,rare,""
"Aang's Iceberg",B,W,rare,""
"Suki, Courageous Rescuer",B,W,rare,""
"Avatar's Wrath",A-,W,rare,""
"Hakoda, Selfless Commander",B+,W,rare,""
"Tiger-Seal",G,U,rare,""
"Waterbender Ascension",B,U,rare,""
"Spirit Water Revival",B,U,rare,""
"The Mechanist, Aerial Artisan",B+,U,rare,""
"Ty Lee, Chi Blocker",B+,U,rare,""
"Yue, the Moon Spirit",C-,U,rare,""
"The Unagi of Kyoshi Island",B+,U,rare,""
"Day of Black Sun",C+,B,rare,""
"Mai, Scornful Striker",B,B,rare,""
"Obsessive Pursuit",B,B,rare,""
"Boiling Rock Rioter",B,B,rare,""
"Foggy Swamp Visions",G,B,rare,""
"Raven Eagle",B+,B,rare,""
"The Fire Nation Drill",A-,B,rare,""
"Redirect Lightning",D,R,rare,""
"Firebender Ascension",C+,R,rare,""
"The Last Agni Kai",B,R,rare,""
"Zhao, the Moon Slayer",C,R,rare,""
"Wartime Protestors",B,R,rare,""
"Ran and Shaw",A,R,rare,""
"Earthen Ally",C+,BGRUW,rare,""
"Great Divide Guide",B+,G,rare,""
"Earthbender Ascension",A,G,rare,""
"Avatar Destiny",B+,G,rare,""
"Diligent Zookeeper",C+,G,rare,""
"The Earth King",A,G,rare,""
"Elemental Teachings",D,G,rare,""
"Earth King's Lieutenant",B-,GW,rare,""
"Sandbender Scavengers",C-,BW,rare,""
"Sokka, Bold Boomeranger",C,RU,rare,""
"Zuko, Conflicted",B,BR,rare,""
"Fire Lord Zuko",D+,BRW,rare,""
"Iroh, Tea Master",C+,RW,rare,""
"Katara, the Fearless",D+,GUW,rare,""
"The Lion-Turtle",C,GU,rare,""
"Beifong's Bounty Hunters",B,BG,rare,""
"Fire Lord Azula",A-,BRU,rare,""
"Sokka, Tenacious Tactician",B-,RUW,rare,""
"Toph, Hardheaded Teacher",A-,GR,rare,""
"Toph, the First Metalbender",A-,GRW,rare,""
"Firebending Student",C,R,rare,""
"Katara, Water Tribe's Hope",B+,UW,rare,""
"Iroh, Grand Lotus",A,GRU,rare,""
"Abandoned Air Temple",B+,W,rare,""
"Agna Qel'a",B,U,rare,""
"Ba Sing Se",B,G,rare,""
"Fire Nation Palace",C+,R,rare,""
"Jasmine Dragon Tea Shop",B,,rare,""
"Realm of Koh",B-,B,rare,""
"Secret Tunnel",C,,rare,""
"Aang, Swift Savior // Aang and La, Ocean's Fury",A,UW,rare,""
"Aang, at the Crossroads // Aang, Destined Savior",A-,GUW,rare,""
"United Front",A-,W,mythic,""
"Appa, Steadfast Guardian",A-,W,mythic,""
"Wan Shi Tong, Librarian",A-,U,mythic,""
"Secret of Bloodbending",D-,U,mythic,""
"Phoenix Fleet Airship",B+,B,mythic,""
"Koh, the Face Stealer",A,B,mythic,""
"Fated Firepower",G,R,mythic,""
"Sozin's Comet",D-,R,mythic,""
"Badgermole Cub",B+,G,mythic,""
"Bumi, Unleashed",A,GR,mythic,""
"Ozai, the Phoenix King",A-,BR,mythic,""
"Avatar Aang // Aang, Master of Elements",B,BGRUW,mythic,""
"The Legend of Kuruk // Avatar Kuruk",A,U,mythic,""
"The Legend of Roku // Avatar Roku",A,R,mythic,""
"White Lotus Tile",D,,mythic,""
"The Legend of Yangchen // Avatar Yangchen",A-,W,mythic,""
"Planetarium of Wan Shi Tong",B,,mythic,""
"The Legend of Kyoshi // Avatar Kyoshi",A-,G,mythic,""
"The Rise of Sozin // Fire Lord Sozin",A+,B,mythic,""
"The Walls of Ba Sing Se",G,,mythic,""
"Azula, Cunning Usurper",B+,BU,rare,""
