Name,Rating,Color,Rarity,Notes
True Ancestry,C+,G,uncommon,
Unlucky Cabbage Merchant,C+,G,uncommon,
Allies at Last,B-,G,uncommon,
Rockalanche,C,G,uncommon,
"Toph, the Blind Bandit",B,G,uncommon,
Earth Kingdom General,B-,G,uncommon,
Earth Rumble,C,G,uncommon,
Kyoshi Island Plaza,D-,G,uncommon,
"The Boulder, Ready to Rumble",D+,G,uncommon,
Invasion Tactics,G,G,uncommon,
"Bumi, King of Three Trials",C-,G,uncommon,
"Flopsie, Bumi's Buddy",C,G,uncommon,
Air Nomad Legacy,C-,UW,uncommon,
Hermitic Herbalist,C+,GU,uncommon,
"Professor Zei, Anthropologist",C-,RU,uncommon,
Tolls of War,C-,BW,uncommon,
Bitter Work,C-,GR,uncommon,
Dragonfly Swarm,C+,RU,uncommon,
Foggy Swamp Spirit Keeper,B-,BU,uncommon,
"Long Feng, Grand Secretariat",C,BG,uncommon,
"Sokka, Lateral Strategist",C,UW,uncommon,
Uncle Iroh,C,GR,uncommon,
White Lotus Reinforcements,C+,GW,uncommon,
Guru Pathik,C+,GU,uncommon,
"Hei Bai, Spirit of Balance",C+,BW,uncommon,
"Suki, Kyoshi Warrior",B-,GW,uncommon,
Sun Warriors,B-,RW,uncommon,
"Zhao, Ruthless Admiral",C,BR,uncommon,
Cruel Administrator,C+,BR,uncommon,
Dai Li Agents,C+,BG,uncommon,
"Hama, the Bloodbender",C-,BU,uncommon,
"Jet, Freedom Fighter",C-,RW,uncommon,
White Lotus Hideout,D+,,uncommon,
Trusty Boomerang,G,,uncommon,
Energybending,D+,,uncommon,
Fire Nation Warship,D+,,uncommon,
Meteor Sword,C,,uncommon,
"Momo, Friendly Flier",D+,W,rare,
Airbender Ascension,C-,W,rare,
South Pole Voyager,C+,W,rare,
Aang's Iceberg,B-,W,rare,
"Suki, Courageous Rescuer",C+,W,rare,
Avatar's Wrath,B,W,rare,
"Hakoda, Selfless Commander",B-,W,rare,
Tiger-Seal,G,U,rare,
Waterbender Ascension,D+,U,rare,
Spirit Water Revival,C,U,rare,
"The Mechanist, Aerial Artisan",A-,U,rare,
"Ty Lee, Chi Blocker",C+,U,rare,
"Yue, the Moon Spirit",C+,U,rare,
The Unagi of Kyoshi Island,B-,U,rare,
Day of Black Sun,B-,B,rare,
"Mai, Scornful Striker",C+,B,rare,
Obsessive Pursuit,C+,B,rare,
Boiling Rock Rioter,C+,B,rare,
Foggy Swamp Visions,D+,B,rare,
Raven Eagle,B,B,rare,
