Name,Rating,Color,Rarity,Notes
Sparring Dummy,C,G,uncommon,
True Ancestry,C-,G,uncommon,
Unlucky Cabbage Merchant,C+,G,uncommon,
Allies at Last,B,G,uncommon,
Rockalanche,B-,G,uncommon,
"Toph, the Blind Bandit",B,G,uncommon,
Earth Kingdom General,B,G,uncommon,
Earth Rumble,C+,G,uncommon,
Kyoshi Island Plaza,G,G,uncommon,
"The Boulder, Ready to Rumble",B-,G,uncommon,
Invasion Tactics,C+,G,uncommon,
"Bumi, King of Three Trials",C+,G,uncommon,
"Flopsie, Bumi's Buddy",C+,G,uncommon,
Air Nomad Legacy,C,UW,uncommon,
Hermitic Herbalist,C+,GU,uncommon,
"Professor Zei, Anthropologist",C-,RU,uncommon,
Tolls of War,C+,BW,uncommon,
Bitter Work,C+,GR,uncommon,
Dragonfly Swarm,C-,RU,uncommon,
Foggy Swamp Spirit Keeper,B-,BU,uncommon,
"Long Feng, Grand Secretariat",B-,BG,uncommon,
"Sokka, Lateral Strategist",B-,UW,uncommon,
Uncle Iroh,C+,GR,uncommon,
White Lotus Reinforcements,B,GW,uncommon,
Guru Pathik,C,GU,uncommon,
"Hei Bai, Spirit of Balance",B-,BW,uncommon,
"Suki, Kyoshi Warrior",B,GW,uncommon,
Sun Warriors,B-,RW,uncommon,
"Zhao, Ruthless Admiral",C+,BR,uncommon,
Cruel Administrator,B,BR,uncommon,
Dai Li Agents,B,BG,uncommon,
"Hama, the Bloodbender",B,BU,uncommon,
"Jet, Freedom Fighter",B,RW,uncommon,
White Lotus Hideout,C,,uncommon,
Trusty Boomerang,C-,,uncommon,
Energybending,C-,,uncommon,
Fire Nation Warship,C+,,uncommon,
Meteor Sword,C+,,uncommon,
"Momo, Friendly Flier",C+,W,rare,
Airbender Ascension,C,W,rare,
South Pole Voyager,B+,W,rare,
Aang's Iceberg,B-,W,rare,
"Suki, Courageous Rescuer",B,W,rare,
Avatar's Wrath,B+,W,rare,
"Hakoda, Selfless Commander",B,W,rare,
Tiger-Seal,C,U,rare,
Waterbender Ascension,C-,U,rare,
Spirit Water Revival,C+,U,rare,
"The Mechanist, Aerial Artisan",C+,U,rare,
"Ty Lee, Chi Blocker",B-,U,rare,
"Yue, the Moon Spirit",C+,U,rare,
The Unagi of Kyoshi Island,B-,U,rare,
Day of Black Sun,B-,B,rare,
"Mai, Scornful Striker",C+,B,rare,
Obsessive Pursuit,B,B,rare,
Boiling Rock Rioter,C+,B,rare,
Foggy Swamp Visions,C-,B,rare,
Raven Eagle,C+,B,rare,
The Fire Nation Drill,C+,B,rare,
Redirect Lightning,C+,R,rare,
Firebender Ascension,C+,R,rare,
Firebending Student,C,R,rare,
The Last Agni Kai,C+,R,rare,
"Zhao, the Moon Slayer",C,R,rare,
Wartime Protestors,C+,R,rare,
Ran and Shaw,C+,R,rare,
Earthen Ally,D+,BGRUW,rare,
Great Divide Guide,C,G,rare,
Earthbender Ascension,C+,G,rare,
Avatar Destiny,C-,G,rare,
Diligent Zookeeper,C+,G,rare,
The Earth King,B-,G,rare,
Elemental Teachings,C,G,rare,
Earth King's Lieutenant,B,GW,rare,
Sandbender Scavengers,C+,BW,rare,
"Sokka, Bold Boomeranger",C,RU,rare,
"Zuko, Conflicted",B-,BR,rare,
Fire Lord Zuko,C,BRW,rare,
"Iroh, Tea Master",D+,RW,rare,
"Katara, the Fearless",B-,GUW,rare,
The Lion-Turtle,D+,GU,rare,
Beifong's Bounty Hunters,B,BG,rare,
Fire Lord Azula,B,BRU,rare,
"Sokka, Tenacious Tactician",B,RUW,rare,
"Toph, Hardheaded Teacher",B+,GR,rare,
"Toph, the First Metalbender",B,GRW,rare,
"Azula, Cunning Usurper",C+,BU,rare,
"Katara, Water Tribe's Hope",C+,UW,rare,
"Iroh, Grand Lotus",C,GRU,rare,
Abandoned Air Temple,B,W,rare,
Agna Qel'a,B,U,rare,
Ba Sing Se,B,G,rare,
Fire Nation Palace,C+,R,rare,
Jasmine Dragon Tea Shop,C+,,rare,
Realm of Koh,B,B,rare,
Secret Tunnel,B-,,rare,
"Aang, Swift Savior // Aang and La, Ocean's Fury",B,UW,rare,
"Aang, at the Crossroads // Aang, Destined Savior",B+,GUW,rare,
United Front,A-,W,mythic,
"Appa, Steadfast Guardian",B,W,mythic,
"Wan Shi Tong, Librarian",B,U,mythic,
Secret of Bloodbending,D+,U,mythic,
Phoenix Fleet Airship,C,B,mythic,
"Koh, the Face Stealer",C+,B,mythic,
Fated Firepower,C+,R,mythic,
Sozin's Comet,C,R,mythic,
Badgermole Cub,B-,G,mythic,
"Bumi, Unleashed",B,GR,mythic,
"Ozai, the Phoenix King",A-,BR,mythic,
"Avatar Aang // Aang, Master of Elements",B+,BGRUW,mythic,
The Legend of Kuruk // Avatar Kuruk,B,U,mythic,
The Legend of Roku // Avatar Roku,B,R,mythic,
White Lotus Tile,C+,,mythic,
The Legend of Yangchen // Avatar Yangchen,B-,W,mythic,
Planetarium of Wan Shi Tong,C+,,mythic,
The Legend of Kyoshi // Avatar Kyoshi,B,G,mythic,
The Rise of Sozin // Fire Lord Sozin,B+,B,mythic,
The Walls of Ba Sing Se,G,,mythic,
